List generated on 03-18-2026 for Windows 11 25H2 Ent x64.
List all apps: Get-AppxPackage -allusers | Select Name, PackageFullName

Name                                           PackageFullName
Clipchamp.Clipchamp                            Clipchamp.Clipchamp_4.5.10920.0_x64__yxz26nhyzhsrt
Microsoft.Windows.Photos                       Microsoft.Windows.Photos_2026.11060.2004.0_x64__8wekyb3d8bbwe
MdOdrMcpFilterPackage                          MdOdrMcpFilterPackage_1.0.0.0_neutral__cw5n1h2txyewy
MicrosoftWindows.CrossDevice                   MicrosoftWindows.CrossDevice_0.26062.105.0_x64__cw5n1h2txyewy
Microsoft.HEVCVideoExtension                   Microsoft.HEVCVideoExtension_2.5.10.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftSolitaireCollection         Microsoft.MicrosoftSolitaireCollection_4.26.7290.0_x64__8wekyb3d8bbwe
Microsoft.WindowsCamera                        Microsoft.WindowsCamera_2026.2605.7.0_x64__8wekyb3d8bbwe
Microsoft.Paint                                Microsoft.Paint_11.2605.71.0_x64__8wekyb3d8bbwe
Microsoft.StartExperiencesApp                  Microsoft.StartExperiencesApp_1.380.2.0_x64__8wekyb3d8bbwe
Microsoft.AV1VideoExtension                    Microsoft.AV1VideoExtension_2.0.24.0_x64__8wekyb3d8bbwe
Microsoft.WindowsFeedbackHub                   Microsoft.WindowsFeedbackHub_2.2606.703.0_x64__8wekyb3d8bbwe
Microsoft.WindowsStore                         Microsoft.WindowsStore_22606.1401.13.0_x64__8wekyb3d8bbwe
Microsoft.GetHelp                              Microsoft.GetHelp_10.2409.42092.0_x64__8wekyb3d8bbwe
Microsoft.ZuneMusic                            Microsoft.ZuneMusic_11.2606.19.0_x64__8wekyb3d8bbwe
Microsoft.WindowsNotepad                       Microsoft.WindowsNotepad_11.2606.15.0_x64__8wekyb3d8bbwe
Microsoft.StorePurchaseApp                     Microsoft.StorePurchaseApp_22606.1401.3.0_x64__8wekyb3d8bbwe
Microsoft.MicrosoftOfficeHub                   Microsoft.MicrosoftOfficeHub_19.2608.41021.0_x64__8wekyb3d8bbwe
